GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
examen2,vacunacion.controller,LoginController,11,0,2,0,2,0,3,0,2,0
examen2,vacunacion,VacunasApp,143,24,13,1,32,7,16,2,9,2
examen2,vacunacion.ui,Menu,91,0,9,0,32,0,10,0,5,0
examen2,vacunacion.model,StringFormatter,3,11,0,0,1,3,1,1,1,1
examen2,vacunacion.model,Persona,3,0,0,0,1,0,1,0,1,0
examen2,vacunacion.model,Usuario,0,10,0,0,0,4,0,1,0,1
examen2,vacunacion.model,CentroVacunacion,87,0,14,0,21,0,12,0,5,0
